source_path	target_java_type	status	notes
src/common/Thread.h	io.github.arlowen.redoreplicator.runtime.ReplicatorTask	pending	Translate lifecycle and wakeup contract using JDK threads
src/common/XmlCtx.cpp	io.github.arlowen.redoreplicator.redo.common.XmlCtx	pending	Translate redo domain model
src/common/XmlCtx.h	io.github.arlowen.redoreplicator.redo.common.XmlCtx	pending	Translate redo domain model
src/common/exception/BootException.cpp	io.github.arlowen.redoreplicator.error.BootException	translated	Translated and parity-tested boot error
src/common/exception/BootException.h	io.github.arlowen.redoreplicator.error.BootException	translated	Translated and parity-tested boot error
src/common/exception/ConfigurationException.cpp	io.github.arlowen.redoreplicator.error.ConfigurationException	translated	Translated and parity-tested configuration error
src/common/exception/ConfigurationException.h	io.github.arlowen.redoreplicator.error.ConfigurationException	translated	Translated and parity-tested configuration error
src/common/exception/DataException.cpp	io.github.arlowen.redoreplicator.error.DataException	translated	Translated domain error
src/common/exception/DataException.h	io.github.arlowen.redoreplicator.error.DataException	translated	Translated domain error
src/common/exception/NetworkException.cpp	-	excluded	Network output is out of scope
src/common/exception/NetworkException.h	-	excluded	Network output is out of scope
src/common/exception/RedoLogException.cpp	io.github.arlowen.redoreplicator.error.RedoLogException	translated	Translated redo format error
src/common/exception/RedoLogException.h	io.github.arlowen.redoreplicator.error.RedoLogException	translated	Translated redo format error
src/common/exception/RuntimeException.cpp	io.github.arlowen.redoreplicator.error.RedoRuntimeException	translated	Translated and parity-tested runtime error
src/common/exception/RuntimeException.h	io.github.arlowen.redoreplicator.error.RedoRuntimeException	translated	Translated and parity-tested runtime error
src/common/expression/BoolValue.cpp	-	excluded	Configuration expressions are replaced by Java regular expressions
src/common/expression/BoolValue.h	-	excluded	Configuration expressions are replaced by Java regular expressions
src/common/expression/Expression.cpp	-	excluded	Configuration expressions are replaced by Java regular expressions
src/common/expression/Expression.h	-	excluded	Configuration expressions are replaced by Java regular expressions
src/common/expression/StringValue.cpp	-	excluded	Configuration expressions are replaced by Java regular expressions
src/common/expression/StringValue.h	-	excluded	Configuration expressions are replaced by Java regular expressions
src/common/expression/Token.cpp	-	excluded	Configuration expressions are replaced by Java regular expressions
src/common/expression/Token.h	-	excluded	Configuration expressions are replaced by Java regular expressions
src/common/metrics/Metrics.cpp	-	excluded	Prometheus and metrics endpoint are out of scope
src/common/metrics/Metrics.h	-	excluded	Prometheus and metrics endpoint are out of scope
src/common/metrics/MetricsPrometheus.cpp	-	excluded	Prometheus and metrics endpoint are out of scope
src/common/metrics/MetricsPrometheus.h	-	excluded	Prometheus and metrics endpoint are out of scope
src/common/table/SysCCol.h	io.github.arlowen.redoreplicator.schema.SysCCol	translated	Translated constraint-column row identity and values with binary update support
src/common/table/SysCDef.h	io.github.arlowen.redoreplicator.schema.SysCDef	translated	Translated constraint row identity types and primary-key classification
src/common/table/SysCol.h	io.github.arlowen.redoreplicator.schema.SysCol	translated	Translated column dictionary row fields properties and binary update support
src/common/table/SysDeferredStg.h	io.github.arlowen.redoreplicator.schema.SysDeferredStg	translated	Translated delayed segment row flags compression and binary update support
src/common/table/SysECol.h	io.github.arlowen.redoreplicator.schema.SysECol	translated	Translated guard column mapping and binary update support
src/common/table/SysLob.h	io.github.arlowen.redoreplicator.schema.SysLob	translated	Translated LOB ownership columns tablespace and binary update support
src/common/table/SysLobCompPart.h	io.github.arlowen.redoreplicator.schema.SysLobCompPart	translated	Translated composite LOB partition relationship and binary update support
src/common/table/SysLobFrag.h	io.github.arlowen.redoreplicator.schema.SysLobFrag	translated	Translated LOB fragment parent tablespace and binary update support
src/common/table/SysObj.h	io.github.arlowen.redoreplicator.schema.SysObj	translated	Translated object row flags identity and table classification
src/common/table/SysTab.h	io.github.arlowen.redoreplicator.schema.SysTab	translated	Translated table row identity flags and properties
src/common/table/SysTabComPart.h	io.github.arlowen.redoreplicator.schema.SysTabComPart	translated	Translated composite table partition relationship and binary update support
src/common/table/SysTabPart.h	io.github.arlowen.redoreplicator.schema.SysTabPart	translated	Translated table partition identity and binary update support
src/common/table/SysTabSubPart.h	io.github.arlowen.redoreplicator.schema.SysTabSubPart	translated	Translated table subpartition relationship and binary update support
src/common/table/SysTs.h	io.github.arlowen.redoreplicator.schema.SysTs	translated	Translated tablespace block size mapping and binary update support
src/common/table/SysUser.h	io.github.arlowen.redoreplicator.schema.SysUser	translated	Translated user row identity name and supplemental flags
src/common/table/TablePack.h	io.github.arlowen.redoreplicator.redo.common.TablePack	pending	Translate redo domain model
src/common/table/XdbTtSet.h	io.github.arlowen.redoreplicator.redo.common.XdbTtSet	pending	Translate redo domain model
src/common/table/XdbXNm.h	io.github.arlowen.redoreplicator.redo.common.XdbXNm	pending	Translate redo domain model
src/common/table/XdbXPt.h	io.github.arlowen.redoreplicator.redo.common.XdbXPt	pending	Translate redo domain model
src/common/table/XdbXQn.h	io.github.arlowen.redoreplicator.redo.common.XdbXQn	pending	Translate redo domain model
src/common/types/Data.cpp	io.github.arlowen.redoreplicator.redo.common.Data	pending	Translate fixed-width redo value type
src/common/types/Data.h	io.github.arlowen.redoreplicator.redo.common.Data	pending	Translate fixed-width redo value type
src/common/types/FileOffset.h	io.github.arlowen.redoreplicator.redo.common.FileOffset	translated	Translated and parity-tested fixed-width redo value type
src/common/types/IntX.h	io.github.arlowen.redoreplicator.redo.common.IntX	translated	Translated and parity-tested unsigned 128-bit value type
src/common/types/LobId.h	io.github.arlowen.redoreplicator.redo.common.LobId	translated	Translated and parity-tested fixed-width LOB identifier
src/common/types/RowId.h	io.github.arlowen.redoreplicator.redo.common.RowId	translated	Translated and parity-tested fixed-width redo value type
src/common/types/Scn.h	io.github.arlowen.redoreplicator.redo.common.Scn	translated	Translated and parity-tested fixed-width redo value type
src/common/types/Seq.h	io.github.arlowen.redoreplicator.redo.common.Seq	translated	Translated and parity-tested fixed-width redo value type
src/common/types/Time.h	io.github.arlowen.redoreplicator.redo.common.RedoTime	translated	Translated and parity-tested packed redo timestamp
src/common/types/Types.h	io.github.arlowen.redoreplicator.redo.common.RedoConstants	translated	Translated primitive aliases as Java primitives and parity-tested UBA helpers
src/common/types/Xid.h	io.github.arlowen.redoreplicator.redo.common.Xid	translated	Translated and parity-tested fixed-width redo value type
src/locales/CharacterSet.cpp	io.github.arlowen.redoreplicator.charset.CharacterSet	pending	Translate Oracle character set decoder
src/locales/CharacterSet.h	io.github.arlowen.redoreplicator.charset.CharacterSet	pending	Translate Oracle character set decoder
src/locales/CharacterSet16bit.cpp	io.github.arlowen.redoreplicator.charset.CharacterSet16bit	pending	Translate Oracle character set decoder
src/locales/CharacterSet16bit.h	io.github.arlowen.redoreplicator.charset.CharacterSet16bit	pending	Translate Oracle character set decoder
src/locales/CharacterSet7bit.cpp	io.github.arlowen.redoreplicator.charset.CharacterSet7bit	pending	Translate Oracle character set decoder
src/locales/CharacterSet7bit.h	io.github.arlowen.redoreplicator.charset.CharacterSet7bit	pending	Translate Oracle character set decoder
src/locales/CharacterSet8bit.cpp	io.github.arlowen.redoreplicator.charset.CharacterSet8bit	pending	Translate Oracle character set decoder
src/locales/CharacterSet8bit.h	io.github.arlowen.redoreplicator.charset.CharacterSet8bit	pending	Translate Oracle character set decoder
src/locales/CharacterSetAL16UTF16.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetAL16UTF16	pending	Translate Oracle character set decoder
src/locales/CharacterSetAL16UTF16.h	io.github.arlowen.redoreplicator.charset.CharacterSetAL16UTF16	pending	Translate Oracle character set decoder
src/locales/CharacterSetAL32UTF8.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetAL32UTF8	pending	Translate Oracle character set decoder
src/locales/CharacterSetAL32UTF8.h	io.github.arlowen.redoreplicator.charset.CharacterSetAL32UTF8	pending	Translate Oracle character set decoder
src/locales/CharacterSetJA16EUC.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetJA16EUC	pending	Translate Oracle character set decoder
src/locales/CharacterSetJA16EUC.h	io.github.arlowen.redoreplicator.charset.CharacterSetJA16EUC	pending	Translate Oracle character set decoder
src/locales/CharacterSetJA16EUCTILDE.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetJA16EUCTILDE	pending	Translate Oracle character set decoder
src/locales/CharacterSetJA16EUCTILDE.h	io.github.arlowen.redoreplicator.charset.CharacterSetJA16EUCTILDE	pending	Translate Oracle character set decoder
src/locales/CharacterSetJA16SJIS.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetJA16SJIS	pending	Translate Oracle character set decoder
src/locales/CharacterSetJA16SJIS.h	io.github.arlowen.redoreplicator.charset.CharacterSetJA16SJIS	pending	Translate Oracle character set decoder
src/locales/CharacterSetJA16SJISTILDE.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetJA16SJISTILDE	pending	Translate Oracle character set decoder
src/locales/CharacterSetJA16SJISTILDE.h	io.github.arlowen.redoreplicator.charset.CharacterSetJA16SJISTILDE	pending	Translate Oracle character set decoder
src/locales/CharacterSetKO16KSCCS.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetKO16KSCCS	pending	Translate Oracle character set decoder
src/locales/CharacterSetKO16KSCCS.h	io.github.arlowen.redoreplicator.charset.CharacterSetKO16KSCCS	pending	Translate Oracle character set decoder
src/locales/CharacterSetUTF8.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetUTF8	pending	Translate Oracle character set decoder
src/locales/CharacterSetUTF8.h	io.github.arlowen.redoreplicator.charset.CharacterSetUTF8	pending	Translate Oracle character set decoder
src/locales/CharacterSetZHS16GBK.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetZHS16GBK	pending	Translate Oracle character set decoder
src/locales/CharacterSetZHS16GBK.h	io.github.arlowen.redoreplicator.charset.CharacterSetZHS16GBK	pending	Translate Oracle character set decoder
src/locales/CharacterSetZHS32GB18030.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetZHS32GB18030	pending	Translate Oracle character set decoder
src/locales/CharacterSetZHS32GB18030.h	io.github.arlowen.redoreplicator.charset.CharacterSetZHS32GB18030	pending	Translate Oracle character set decoder
src/locales/CharacterSetZHT16HKSCS31.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetZHT16HKSCS31	pending	Translate Oracle character set decoder
src/locales/CharacterSetZHT16HKSCS31.h	io.github.arlowen.redoreplicator.charset.CharacterSetZHT16HKSCS31	pending	Translate Oracle character set decoder
src/locales/CharacterSetZHT32EUC.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetZHT32EUC	pending	Translate Oracle character set decoder
src/locales/CharacterSetZHT32EUC.h	io.github.arlowen.redoreplicator.charset.CharacterSetZHT32EUC	pending	Translate Oracle character set decoder
src/locales/CharacterSetZHT32TRIS.cpp	io.github.arlowen.redoreplicator.charset.CharacterSetZHT32TRIS	pending	Translate Oracle character set decoder
src/locales/CharacterSetZHT32TRIS.h	io.github.arlowen.redoreplicator.charset.CharacterSetZHT32TRIS	pending	Translate Oracle character set decoder
src/locales/Locales.cpp	io.github.arlowen.redoreplicator.charset.Locales	pending	Translate Oracle character set decoder
src/locales/Locales.h	io.github.arlowen.redoreplicator.charset.Locales	pending	Translate Oracle character set decoder
src/main.cpp	io.github.arlowen.redoreplicator.cli.RedoReplicatorCommand	pending	Translate process entry point into Picocli
src/metadata/Checkpoint.cpp	io.github.arlowen.redoreplicator.state.RuntimeState	pending	Replace checkpoint files with the H2 safe state row
src/metadata/Checkpoint.h	io.github.arlowen.redoreplicator.state.RuntimeState	pending	Replace checkpoint files with the H2 safe state row
src/metadata/Metadata.cpp	io.github.arlowen.redoreplicator.schema.Metadata	pending	Translate schema and redo metadata
src/metadata/Metadata.h	io.github.arlowen.redoreplicator.schema.Metadata	pending	Translate schema and redo metadata
src/metadata/RedoLog.h	io.github.arlowen.redoreplicator.schema.RedoLog	pending	Translate schema and redo metadata
src/metadata/Schema.cpp	io.github.arlowen.redoreplicator.schema.SchemaCatalog	pending	Initial dictionary, DDL snapshots, tombstones, and H2/Flashback/redo resolution translated; system transaction replay remains
src/metadata/Schema.h	io.github.arlowen.redoreplicator.schema.SchemaCatalog	pending	Initial dictionary, DDL snapshots, tombstones, and H2/Flashback/redo resolution translated; system transaction replay remains
src/metadata/SchemaElement.h	io.github.arlowen.redoreplicator.schema.SchemaElement	pending	Translate schema and redo metadata
src/metadata/Serializer.cpp	-	excluded	Checkpoint JSON serialization is replaced by H2
src/metadata/Serializer.h	-	excluded	Checkpoint JSON serialization is replaced by H2
src/metadata/SerializerJson.cpp	-	excluded	Checkpoint JSON serialization is replaced by H2
src/metadata/SerializerJson.h	-	excluded	Checkpoint JSON serialization is replaced by H2
src/parser/OpCode.h	io.github.arlowen.redoreplicator.parser.OpCode	pending	Translate redo and transaction parsing
src/parser/OpCode0501.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0501	translated	Translated undo transaction, index, row, supplemental-log and KDLI fields
src/parser/OpCode0502.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0502	translated	Translated transaction begin fields; dump-only formatting intentionally omitted
src/parser/OpCode0504.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0504	translated	Translated commit and rollback fields; dump-only formatting intentionally omitted
src/parser/OpCode0506.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0506	translated	Translated partial rollback fields; dump-only formatting intentionally omitted
src/parser/OpCode050B.h	io.github.arlowen.redoreplicator.redo.parser.OpCode050B	translated	Translated undo block fields; dump-only formatting intentionally omitted
src/parser/OpCode0513.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0513	translated	Translated 19c and 26ai session attributes and transaction flags; dump formatting omitted
src/parser/OpCode0514.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0514	translated	Translated compact session attributes including reserved field handling
src/parser/OpCode0A02.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0A02	translated	Translated leaf-row key and key-data positions plus KTB transaction identity
src/parser/OpCode0A08.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0A08	translated	Translated leaf-block initialization and single-row key position
src/parser/OpCode0A12.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0A12	translated	Translated updated key-data position plus KTB transaction identity
src/parser/OpCode0B02.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0B02	translated	Translated insert row-piece columns, compression marker and KDO state
src/parser/OpCode0B03.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0B03	translated	Translated KTB and KDO row state
src/parser/OpCode0B04.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0B04	translated	Translated KTB and KDO row state
src/parser/OpCode0B05.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0B05	translated	Translated updated-column numbers, row data and KDOM2 layout
src/parser/OpCode0B06.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0B06	translated	Translated overwrite row-piece columns, compression marker and KDO state
src/parser/OpCode0B08.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0B08	translated	Translated KTB and KDO row state
src/parser/OpCode0B0B.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0B0B	translated	Translated quick multi-row sizes and row data layout
src/parser/OpCode0B0C.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0B0C	translated	Translated quick multi-row delete slots
src/parser/OpCode0B10.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0B10	translated	Translated KTB and KDO row state
src/parser/OpCode0B16.h	io.github.arlowen.redoreplicator.redo.parser.OpCode0B16	translated	Translated KTB and KDO row state
src/parser/OpCode1301.h	io.github.arlowen.redoreplicator.redo.parser.OpCode1301	translated	Translated direct-loader LOB identity, page and payload location
src/parser/OpCode1801.h	io.github.arlowen.redoreplicator.redo.parser.OpCode1801	translated	Translated DDL XID, type, fragment sequence, payload fields, temporary-object filtering and object identity
src/parser/OpCode1A02.h	io.github.arlowen.redoreplicator.redo.parser.OpCode1A02	translated	Translated KTB and KDLI LOB operation fields
src/parser/OpCode1A06.h	io.github.arlowen.redoreplicator.redo.parser.OpCode1A06	translated	Translated KDLI before-image payload and record object identity
src/parser/Parser.cpp	io.github.arlowen.redoreplicator.redo.parser.RedoParser	pending	Header, cross-block LWN and vector parsing started; opcode and transaction behavior remains
src/parser/Parser.h	io.github.arlowen.redoreplicator.redo.parser.RedoParser	pending	Header, cross-block LWN and vector parsing started; opcode and transaction behavior remains
src/parser/Transaction.cpp	io.github.arlowen.redoreplicator.parser.Transaction	pending	Translate redo and transaction parsing
src/parser/Transaction.h	io.github.arlowen.redoreplicator.parser.Transaction	pending	Translate redo and transaction parsing
src/parser/TransactionBuffer.cpp	io.github.arlowen.redoreplicator.parser.TransactionBuffer	pending	Translate redo and transaction parsing
src/parser/TransactionBuffer.h	io.github.arlowen.redoreplicator.parser.TransactionBuffer	pending	Translate redo and transaction parsing
src/reader/Reader.cpp	io.github.arlowen.redoreplicator.redo.reader.RedoReader	pending	File and block headers started; asynchronous filesystem lifecycle remains
src/reader/Reader.h	io.github.arlowen.redoreplicator.redo.reader.RedoReader	pending	File and block headers started; asynchronous filesystem lifecycle remains
src/reader/ReaderFilesystem.cpp	io.github.arlowen.redoreplicator.reader.ReaderFilesystem	pending	Translate filesystem redo reader
src/reader/ReaderFilesystem.h	io.github.arlowen.redoreplicator.reader.ReaderFilesystem	pending	Translate filesystem redo reader
src/replicator/DatabaseConnection.cpp	io.github.arlowen.redoreplicator.source.OracleConnection	pending	Translate online discovery using JDBC and local redo files
src/replicator/DatabaseConnection.h	io.github.arlowen.redoreplicator.source.OracleConnection	pending	Translate online discovery using JDBC and local redo files
src/replicator/DatabaseEnvironment.cpp	io.github.arlowen.redoreplicator.source.OracleConnectionFactory	pending	Translate online discovery using JDBC and local redo files
src/replicator/DatabaseEnvironment.h	io.github.arlowen.redoreplicator.source.OracleConnectionFactory	pending	Translate online discovery using JDBC and local redo files
src/replicator/DatabaseStatement.cpp	io.github.arlowen.redoreplicator.source.OracleStatement	pending	Translate online discovery using JDBC and local redo files
src/replicator/DatabaseStatement.h	io.github.arlowen.redoreplicator.source.OracleStatement	pending	Translate online discovery using JDBC and local redo files
src/replicator/Replicator.cpp	io.github.arlowen.redoreplicator.source.Replicator	pending	Translate online discovery using JDBC and local redo files
src/replicator/Replicator.h	io.github.arlowen.redoreplicator.source.Replicator	pending	Translate online discovery using JDBC and local redo files
src/replicator/ReplicatorBatch.cpp	-	excluded	Offline batch reader is out of scope
src/replicator/ReplicatorBatch.h	-	excluded	Offline batch reader is out of scope
src/replicator/ReplicatorOnline.cpp	io.github.arlowen.redoreplicator.schema.OracleDictionaryReader	pending	Database identity and initial Flashback dictionary loading translated; redo discovery loop remains
src/replicator/ReplicatorOnline.h	io.github.arlowen.redoreplicator.schema.OracleDictionaryReader	pending	Database identity and initial Flashback dictionary loading translated; redo discovery loop remains
src/state/State.cpp	io.github.arlowen.redoreplicator.state.H2StateStore	pending	Replace disk checkpoint state with H2
src/state/State.h	io.github.arlowen.redoreplicator.state.H2StateStore	pending	Replace disk checkpoint state with H2
src/state/StateDisk.cpp	io.github.arlowen.redoreplicator.state.H2StateStore	pending	Replace disk checkpoint state with H2
src/state/StateDisk.h	io.github.arlowen.redoreplicator.state.H2StateStore	pending	Replace disk checkpoint state with H2
src/stream/Stream.cpp	-	excluded	Network output is out of scope
src/stream/Stream.h	-	excluded	Network output is out of scope
src/stream/StreamNetwork.cpp	-	excluded	Network output is out of scope
src/stream/StreamNetwork.h	-	excluded	Network output is out of scope
src/stream/StreamZeroMQ.cpp	-	excluded	Network output is out of scope
src/stream/StreamZeroMQ.h	-	excluded	Network output is out of scope
src/writer/Writer.cpp	io.github.arlowen.redoreplicator.output.Writer	pending	Translate JSONL file writer
src/writer/Writer.h	io.github.arlowen.redoreplicator.output.Writer	pending	Translate JSONL file writer
src/writer/WriterDiscard.cpp	-	excluded	Only JSONL file output is in scope
src/writer/WriterDiscard.h	-	excluded	Only JSONL file output is in scope
src/writer/WriterFile.cpp	io.github.arlowen.redoreplicator.output.WriterFile	pending	Translate JSONL file writer
src/writer/WriterFile.h	io.github.arlowen.redoreplicator.output.WriterFile	pending	Translate JSONL file writer
src/writer/WriterKafka.cpp	-	excluded	Only JSONL file output is in scope
src/writer/WriterKafka.h	-	excluded	Only JSONL file output is in scope
src/writer/WriterStream.cpp	-	excluded	Only JSONL file output is in scope
src/writer/WriterStream.h	-	excluded	Only JSONL file output is in scope
